pair_id,excel_row_original,gene_field_original,chemical_original,n_genes_original,strain_background_original,ko_status_original,ko_growth_original,rescue_status_original,rescue_growth_original,classification_original,correct_original,missing_genes_original,mapped_background_original,missing_background_original,mapped_rescue_original,missing_rescue_original,excel_row_curated,gene_field_curated,chemical_curated,n_genes_curated,strain_background_curated,ko_status_curated,ko_growth_curated,rescue_status_curated,rescue_growth_curated,classification_curated,correct_curated,missing_genes_curated,mapped_background_curated,missing_background_curated,mapped_rescue_curated,missing_rescue_curated,change
excel:80,80,YMR020W,pantothenic acid,1,S288C,optimal,-2.0621872766344057e-12,optimal,0.0859108439716189,correct,True,,,,r_1548,,80,YMR020W,pantothenic acid,1,S288C,optimal,0.0,optimal,0.08583865700513388,correct,True,,,,r_1548,,unchanged
excel:81,81,YLR146C,pantothenic acid,1,S288C,optimal,-9.564961829295636e-13,optimal,0.0859108439716185,correct,True,,,,r_1548,,81,YLR146C,pantothenic acid,1,S288C,optimal,-1.9675482699855704e-13,optimal,0.08583865700513413,correct,True,,,,r_1548,,unchanged
excel:82,82,YNL256W,5-formyltetrahydrofolic acid,1,Other,optimal,2.716498203822177e-13,optimal,0.085909651910394,correct,True,,,,r_1625,,82,YNL256W,5-formyltetrahydrofolic acid,1,Other,optimal,0.0,optimal,0.08583746694632256,correct,True,,,,r_1625,,unchanged
excel:83,83,YJL153C,myo-inositol,1,Other,optimal,0.0,optimal,0.0859748205553331,correct,True,,,,r_1947,,83,YJL153C,myo-inositol,1,Other,optimal,2.098589847074101e-30,optimal,0.08590252608083732,correct,True,,,,r_1947,,unchanged
excel:84,84,YKL212W,myo-inositol,1,Other,optimal,0.0859075189938797,optimal,0.0859747905057986,type_I,False,,,,r_1947,,84,YKL212W,myo-inositol,1,Other,optimal,0.08583536756472468,optimal,0.08590252608083726,type_I,False,,,,r_1947,,unchanged
excel:85,85,YJR025C,nicotinicacid,1,W303,optimal,2.6340034167697135e-17,optimal,0.0859904516681504,correct,True,,,,r_1967,,85,YJR025C,nicotinicacid,1,W303,optimal,7.879125989253592e-31,optimal,0.08591813091455379,correct,True,,,,r_1967,,unchanged
excel:86,86,YJR078W,nicotinicacid,1,W303,optimal,-4.390005694616189e-17,optimal,0.0859904516681506,correct,True,,,,r_1967,,86,YJR078W,nicotinicacid,1,W303,optimal,7.872966824848135e-15,optimal,0.08591813139358864,correct,True,,,,r_1967,,unchanged
excel:87,87,YBL098W,nicotinicacid,1,W303,optimal,1.4487018792233423e-16,optimal,0.0859904516681505,correct,True,,,,r_1967,,87,YBL098W,nicotinicacid,1,W303,optimal,-1.576267398252304e-13,optimal,0.0859181313935896,correct,True,,,,r_1967,,unchanged
excel:88,88,YLR231C,nicotinicacid,1,W303,optimal,2.6340034167697135e-17,optimal,0.0859904516681506,correct,True,,,,r_1967,,88,YLR231C,nicotinicacid,1,W303,optimal,-1.0308050518704686e-14,optimal,0.08591816839020207,correct,True,,,,r_1967,,unchanged
excel:89,89,YFR047C,nicotinicacid,1,W303,optimal,-5.268006833539426e-17,optimal,0.0859904516681497,correct,True,,,,r_1967,,89,YFR047C,nicotinicacid,1,W303,optimal,8.699457302843252e-16,optimal,0.08591811571765849,correct,True,,,,r_1967,,unchanged
